SEASON_ID,PLAYER_NAME,AGE,HEIGHT_IN,WEIGHT_LB,PTS,AST,REB,STL,BLK,TS_PCT,EFG_PCT,USG_PCT
2021-22,Desmond Bane,23,77,215,22.0,3.3,5.3,1.5,0.5,0.5913978494623655,0.5657142857142857,0.3669633547303764
2022-23,Desmond Bane,24,77,215,24.4,5.0,5.7,1.1,0.4,0.6051587301587301,0.5652173913043479,0.5085293017287883
2023-24,Desmond Bane,25,77,215,24.9,5.7,4.6,1.1,0.5,0.5883742911153119,0.5515463917525774,0.7085513746629484
2024-25,Desmond Bane,26,77,215,21.7,6.0,6.8,1.3,0.5,0.6025099955575299,0.5632530120481927,0.3798426321682836
2021-22,Franz Wagner,20,82,220,17.7,3.4,5.3,1.0,0.5,0.5563238622076943,0.5172413793103449,0.3140062774973985
2022-23,Franz Wagner,21,82,220,20.5,3.9,4.5,1.1,0.2,0.5912551915089985,0.5454545454545454,0.3215733906163691
2023-24,Franz Wagner,22,82,220,21.9,4.1,5.9,1.2,0.4,0.5746221662468515,0.5207100591715976,0.3936761717616058
2024-25,Franz Wagner,23,82,220,25.8,5.1,6.1,1.3,0.4,0.5579584775086506,0.5096618357487922,0.5519779462629827
2016-17,Brandon Ingram,19,80,190,11.7,2.6,5.0,0.8,0.6,0.4757644762524397,0.449074074074074,0.2639772304931073
2017-18,Brandon Ingram,20,80,190,17.3,4.2,5.7,0.8,0.8,0.5358027750247771,0.4928057553956834,0.4002219054764905
2018-19,Brandon Ingram,21,80,190,19.4,3.1,5.5,0.6,0.6,0.5544124371284864,0.5167785234899329,0.470358796679931
2019-20,Brandon Ingram,22,80,190,25.3,4.4,6.5,1.0,0.7,0.5864083070647136,0.5319148936170213,0.4777390003465487
2020-21,Brandon Ingram,23,80,190,24.9,5.1,5.1,0.7,0.6,0.5839587242026266,0.5317460317460319,0.476652565215223
2021-22,Brandon Ingram,24,80,190,24.0,5.9,6.2,0.7,0.5,0.5548363232846311,0.4973544973544973,0.561320100910557
2022-23,Brandon Ingram,25,80,190,26.0,6.1,5.8,0.7,0.4,0.5825416741351497,0.5256410256410257,0.7137799766896361
2023-24,Brandon Ingram,26,80,190,22.8,6.2,5.5,0.9,0.7,0.5777417393067099,0.5373563218390804,0.4656647791580519
2024-25,Brandon Ingram,27,80,190,24.2,5.6,6.0,1.0,0.7,0.5614328136599851,0.5323383084577115,1.819898874110311
2018-19,Deandre Ayton,20,84,252,19.1,2.1,12.0,1.0,1.1,0.6096782431052093,0.5874125874125874,0.3458651027016152
2019-20,Deandre Ayton,21,84,252,20.1,2.1,12.7,0.8,1.7,0.5695987304466108,0.5484848484848486,0.6835469781500579
2020-21,Deandre Ayton,22,84,252,17.0,1.7,12.4,0.7,1.4,0.655055487053021,0.6282051282051282,0.3075088741002874
2021-22,Deandre Ayton,23,84,252,21.0,1.8,12.5,0.8,0.8,0.6554307116104869,0.6360544217687076,0.4490990947280964
2022-23,Deandre Ayton,24,84,252,21.3,2.0,11.8,0.7,0.9,0.6177494199535963,0.589171974522293,0.4030161279957653
2023-24,Deandre Ayton,25,84,252,18.6,1.8,12.3,1.1,0.8,0.5884586180713743,0.5695364238410596,0.420609625211259
2024-25,Deandre Ayton,26,84,252,17.2,1.9,12.1,0.9,1.2,0.5813953488372093,0.5714285714285714,0.5799628590201384
2015-16,Jrue Holiday,25,76,205,21.4,7.7,3.8,1.7,0.4,0.5284472540497828,0.4864130434782608,0.5659566343508771
